player_id,player_battingtype,player_name,player_role,player_intlTeam,player_bat_testrank,player_bat_Odirank,player_bat_t20rank,player_bowl_testrank,player_bowl_Odirank,player_bowl_t20rank,player_DOB,player_batting_Matches_Test,player_batting_Matches_ODI,player_batting_Matches_T20,player_batting_Matches_IPL,player_batting_Inning_Test,player_batting_Inning_ODI,player_batting_Inning_T20,player_batting_Inning_IPL,player_batting_runs_Test,player_batting_runs_ODI,player_batting_runs_T20,player_batting_runs_IPL,player_batting_Balls_Test,player_batting_Balls_ODI,player_batting_Balls_T20,player_batting_Balls_IPL,player_batting_Highest_Test,player_batting_Highest_ODI,player_batting_Highest_T20,player_batting_Highest_IPL,player_batting_Average_Test,player_batting_Average_ODI,player_batting_Average_T20,player_batting_Average_IPL,player_batting_SR_Test,player_batting_SR_ODI,player_batting_SR_T20,player_batting_SR_IPL,player_batting_NotOut_Test,player_batting_NotOut_ODI,player_batting_NotOut_T20,player_batting_NotOut_IPL,player_batting_Fours_Test,player_batting_Fours_ODI,player_batting_Fours_T20,player_batting_Fours_IPL,player_batting_Sixes_Test,player_batting_Sixes_ODI,player_batting_Sixes_T20,player_batting_Sixes_IPL,player_batting_Ducks_Test,player_batting_Ducks_ODI,player_batting_Ducks_T20,player_batting_Ducks_IPL,player_batting_50s_Test,player_batting_50s_ODI,player_batting_50s_T20,player_batting_50s_IPL,player_batting_100s_Test,player_batting_100s_ODI,player_batting_100s_T20,player_batting_100s_IPL,player_batting_200s_Test,player_batting_200s_ODI,player_batting_200s_T20,player_batting_200s_IPL,player_batting_300s_Test,player_batting_300s_ODI,player_batting_300s_T20,player_batting_300s_IPL,player_batting_400s_Test,player_batting_400s_ODI,player_batting_400s_T20,player_batting_400s_IPL,player_Bowling_Matches_Test,player_Bowling_Matches_ODI,player_Bowling_Matches_T20,player_Bowling_Matches_IPL,player_Bowling_Innings_Test,player_Bowling_Innings_ODI,player_Bowling_Innings_T20,player_Bowling_Innings_IPL,player_Bowling_Balls_Test,player_Bowling_Balls_ODI,player_Bowling_Balls_T20,player_Bowling_Balls_IPL,player_Bowling_Runs_Test,player_Bowling_Runs_ODI,player_Bowling_Runs_T20,player_Bowling_Runs_IPL,player_Bowling_Maidens_Test,player_Bowling_Maidens_ODI,player_Bowling_Maidens_T20,player_Bowling_Maidens_IPL,player_Bowling_Wickets_Test,player_Bowling_Wickets_ODI,player_Bowling_Wickets_T20,player_Bowling_Wickets_IPL,player_Bowling_Avg_Test,player_Bowling_Avg_ODI,player_Bowling_Avg_T20,player_Bowling_Avg_IPL,player_Bowling_ECO_Test,player_Bowling_ECO_ODI,player_Bowling_ECO_T20,player_Bowling_ECO_IPL,player_Bowling_SR_Test,player_Bowling_SR_ODI,player_Bowling_SR_T20,player_Bowling_SR_IPL,player_Bowling_BBI_Test,player_Bowling_BBI_ODI,player_Bowling_BBI_T20,player_Bowling_BBI_IPL,player_Bowling_BBM_Test,player_Bowling_BBM_ODI,player_Bowling_BBM_T20,player_Bowling_BBM_IPL,player_Bowling_4W_Test,player_Bowling_4W_ODI,player_Bowling_4W_T20,player_Bowling_4W_IPL,player_Bowling_5W_Test,player_Bowling_5W_ODI,player_Bowling_5W_T20,player_Bowling_5W_IPL,player_Bowling_10W_Test,player_Bowling_10W_ODI,player_Bowling_10W_T20,player_Bowling_10W_IPL
1413,Right Handed Bat,Virat Kohli,Batsman,India,10,2,16,0,0,0,"November 05, 1988",101,260,97,217,171,251,89,209,8043,12311,3296,6469,14440,13249,2394,4995,254,183,94,113,49.96,58.07,51.5,36.55,55.7,92.92,137.68,129.51,10,39,25,32,904,1153,298,563,24,126,92,213,14,15,3,8,28,64,30,43,27,43,0,5,7,0,0,0,0,0,0,0,0,0,0,0,101,260,97,217,11,48,12,26,175,641,146,251,84,665,198,368,2,1,0,0,0,4,4,4,0,166.25,49.5,92,2.88,6.22,8.14,8.8,0,160.25,36.5,62.75,0/0,Jan-15,Jan-13,Feb-25,0/0,Jan-15,Jan-13,Feb-25,0,0,0,0,0,0,0,0,0,0,0,0
576,Right Handed Bat,Rohit Sharma,Batsman,India,8,4,14,0,0,0,"April 30, 1987",45,230,125,222,77,223,117,217,3137,9283,3313,5766,5625,10428,2374,4429,212,264,118,109,46.13,48.6,32.17,30.51,55.77,89.02,139.55,130.19,9,32,14,28,335,845,293,508,64,245,155,234,4,13,7,14,14,44,26,40,8,29,4,1,1,3,0,0,0,0,0,0,0,0,0,0,45,230,125,222,16,38,9,32,383,593,68,339,224,515,113,453,5,2,0,0,2,8,1,15,112,64.38,113,30.2,3.51,5.21,9.97,8.02,191.5,74.12,68,22.6,Jan-26,Feb-27,Jan-22,04-Jun,Jan-35,Feb-27,Jan-22,04-Jun,0,0,0,1,0,0,0,0,0,0,0,0
1446,Left Handed Bat,Shikhar Dhawan,Batsman,India,0,14,87,0,0,0,"December 05, 1985",34,149,68,201,58,146,66,200,2315,6284,1759,6090,3458,6730,1392,4810,190,143,92,106,40.61,45.54,27.92,34.8,66.95,93.37,126.36,126.61,1,8,3,25,316,783,191,684,12,74,50,132,4,5,2,11,5,35,11,46,7,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,34,149,68,201,5,0,0,6,54,0,0,48,18,0,0,66,2,0,0,0,0,0,0,4,0,0,0,16.5,2,0,0,8.25,0,0,0,12,0/0,-/-,-/-,01-Jul,0/0,-/-,-/-,01-Jul,0,0,0,0,0,0,0,0,0,0,0,0
11808,Right Handed Bat,Shubman Gill,Batsman,India,56,0,0,0,0,0,"September 08, 1999",10,3,0,67,19,3,0,64,558,49,0,1677,983,71,0,1341,91,33,0,96,32.82,16.33,0,31.06,56.77,69.01,0,125.06,2,0,0,10,70,5,0,162,8,1,0,43,2,0,0,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
9428,Right Handed Bat,Shreyas Iyer,Batsman,India,34,64,19,0,0,0,"December 06, 1994",4,26,36,96,7,24,32,96,388,947,809,2665,578,986,572,2127,105,103,74,96,55.43,41.17,36.77,32.11,67.13,96.04,141.43,125.29,0,1,10,13,46,93,70,226,9,17,29,95,0,0,2,5,3,9,6,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,36,96,0,4,0,1,0,31,0,6,0,37,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16,0,7,0,0,0,0,-/-,0/1,-/-,0/7,-/-,0/1,-/-,0/7,0,0,0,0,0,0,0,0,0,0,0,0
1836,Right Handed Bat,Manish Pandey,Batsman,India,0,0,0,0,0,0,"September 10, 1989",0,29,39,160,0,24,33,149,0,566,709,3648,0,625,562,3002,0,104,79,114,0,33.29,44.31,29.9,0,90.56,126.16,121.52,0,7,17,27,0,45,49,317,0,5,19,105,0,2,2,12,0,2,3,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,39,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
2195,Right Handed Bat,Mayank Agarwal,Batsman,India,19,0,0,0,0,0,"February 16, 1991",21,5,0,108,36,5,0,103,1488,86,0,2296,2782,83,0,1698,243,32,0,106,41.33,17.2,0,23.19,53.49,103.61,0,135.22,0,0,0,4,189,12,0,222,28,1,0,91,1,0,0,6,6,0,0,12,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,21,5,0,108,0,1,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,-/-,0/10,-/-,-/-,-/-,0/10,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
12094,Right Handed Bat,Prithvi Shaw,Batsman,India,0,0,0,0,0,0,"November 09, 1999",5,6,1,61,9,6,1,61,339,189,0,1559,394,166,1,1047,134,49,0,99,42.38,31.5,0,25.56,86.04,113.86,0,148.9,1,0,0,0,48,32,0,189,2,2,0,54,1,0,1,5,2,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
1448,Right Handed Bat,Cheteshwar Pujara,Batsman,India,23,0,0,0,0,0,"January 25, 1988",95,5,0,30,162,5,0,22,6713,51,0,390,15169,130,0,391,206,27,0,51,43.88,10.2,0,20.53,44.25,39.23,0,99.74,9,0,0,3,806,4,0,50,15,0,0,4,11,2,0,1,32,0,0,1,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,95,5,0,30,1,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0/2,-/-,-/-,-/-,0/2,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
1447,Right Handed Bat,Ajinkya Rahane,Batsman,India,31,0,0,0,0,0,"June 06, 1988",82,90,20,156,140,87,20,146,4931,2962,375,4021,9972,3767,331,3328,188,111,61,105,38.52,35.26,20.83,30.93,49.45,78.63,113.29,120.82,12,3,2,16,561,293,32,428,34,33,6,77,10,6,2,13,25,24,1,28,12,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,82,90,20,156,0,0,0,1,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0,6,-/-,-/-,-/-,01-May,-/-,-/-,-/-,01-May,0,0,0,0,0,0,0,0,0,0,0,0
